 time            vo1             vo2             vcmp            p1              p2             
 5.65155283e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658578e-08  1.49999994e+00 
 5.66114395e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658587e-08  1.49999994e+00 
 5.66901920e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658579e-08  1.49999994e+00 
 5.67692614e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658584e-08  1.49999994e+00 
 5.68192057e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658574e-08  1.49999994e+00 
 5.68738042e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658582e-08  1.49999994e+00 
 5.69401883e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658599e-08  1.49999994e+00 
 5.70729565e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658566e-08  1.49999994e+00 
 5.71719489e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658585e-08  1.49999994e+00 
 5.72398544e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658572e-08  1.49999994e+00 
 5.73133934e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658586e-08  1.49999994e+00 
 5.73965911e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658589e-08  1.49999994e+00 
 5.75629863e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658574e-08  1.49999994e+00 
 5.76870064e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658583e-08  1.49999994e+00 
 5.77720660e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658579e-08  1.49999994e+00 
 5.78641832e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658580e-08  1.49999994e+00 
 5.79683413e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658583e-08  1.49999994e+00 
 5.80552474e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658583e-08  1.49999994e+00 
 5.81126206e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658579e-08  1.49999994e+00 
 5.81754592e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658575e-08  1.49999994e+00 
 5.82482777e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658590e-08  1.49999994e+00 
 5.83939146e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658578e-08  1.49999994e+00 
 5.85024961e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658583e-08  1.49999994e+00 
 5.85769762e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658578e-08  1.49999994e+00 
 5.86576348e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658585e-08  1.49999994e+00 
 5.87488686e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658578e-08  1.49999994e+00 
 5.89313361e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658584e-08  1.49999994e+00 
 5.90673161e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658582e-08  1.49999994e+00 
 5.91605730e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658587e-08  1.49999994e+00 
 5.92615679e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658584e-08  1.49999994e+00 
 5.93757414e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658583e-08  1.49999994e+00 
 5.94772758e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658575e-08  1.49999994e+00 
 5.95000000e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658597e-08  1.49999994e+00 
 5.95093294e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658156e-08  1.49999994e+00 
 5.95279883e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27659881e-08  1.49999994e+00 
 5.95653060e-07  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27657662e-08  1.49999994e+00 
