 time            vo1             vo2             vcmp            p1              p2             
 6.70287625e-06 -1.31912952e-01  2.52787980e-02  1.49999962e+00  0.00000000e+00  0.00000000e+00 
 6.70598906e-06 -1.31842634e-01  2.57007044e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 6.71221469e-06 -1.31707931e-01  2.65084748e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 6.72466594e-06 -1.31459766e-01  2.79975610e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 6.74956844e-06 -1.31029046e-01  3.05818121e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 6.75000000e-06 -1.31022178e-01  3.06219937e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 6.75086312e-06 -1.31009115e-01  3.07017236e-02  1.49999961e+00  0.00000000e+00  1.29468141e-02 
 6.75258936e-06 -1.30982675e-01  3.08600593e-02  1.49999961e+00  0.00000000e+00  3.88404423e-02 
 6.75604185e-06 -1.30930779e-01  3.11714638e-02  1.49999961e+00  0.00000000e+00  9.06276987e-02 
 6.76294681e-06 -1.30830419e-01  3.17735916e-02  1.49999961e+00  0.00000000e+00  1.94202212e-01 
 6.77675675e-06 -1.30641814e-01  3.29051292e-02  1.49999961e+00  0.00000000e+00  4.01351237e-01 
 6.78194819e-06 -1.30574867e-01  3.33067316e-02  1.49999961e+00  0.00000000e+00  4.79222880e-01 
 6.79103322e-06 -1.30462394e-01  3.39817791e-02  1.49999961e+00  0.00000000e+00  6.15498256e-01 
 6.80109164e-06 -7.50007977e-01  6.62748316e-02  1.49999961e+00  0.00000000e+00  7.66374564e-01 
 6.81098636e-06 -7.49995592e-01  6.62998310e-02  1.49999961e+00  0.00000000e+00  9.14795356e-01 
 6.82144940e-06 -7.49998585e-01  6.63098730e-02  1.49999961e+00  0.00000000e+00  1.07174107e+00 
 6.83623670e-06 -7.49998522e-01  6.63270992e-02  1.49999961e+00  0.00000000e+00  1.29355046e+00 
 6.85000000e-06 -7.49998457e-01  6.63419572e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 6.85295746e-06 -7.49998442e-01  6.63449906e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 6.85887238e-06 -7.49998414e-01  6.63509511e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 6.87070221e-06 -7.49998357e-01  6.63623939e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 6.89436188e-06 -7.49998240e-01  6.63835895e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 6.94168121e-06 -7.49998002e-01  6.64205446e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 7.03631988e-06 -7.49997515e-01  6.64795395e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 7.22559722e-06 -7.49996520e-01  6.65635774e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 7.60415190e-06 -7.49994503e-01  6.66682570e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 8.16168406e-06 -7.49991516e-01  6.67536503e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 8.85000000e-06 -7.49987821e-01  6.68086550e-02  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 8.86000000e-06 -7.49987767e-01  6.68090460e-02  1.49999961e+00  0.00000000e+00  1.35000000e+00 
 8.88000000e-06 -7.49987660e-01  6.68098219e-02  1.49999961e+00  0.00000000e+00  1.05000000e+00 
 8.88458333e-06 -7.49987635e-01  6.68099985e-02  1.49999961e+00  0.00000000e+00  9.81250000e-01 
 8.89260417e-06 -7.49987592e-01  6.68103063e-02  1.49999961e+00  0.00000000e+00  8.60937500e-01 
