 time            vo1             p1              p2             
 1.97224240e-07  9.56859084e-01  1.80000000e+00  0.00000000e+00 
 2.07224240e-07  9.56859086e-01  1.80000000e+00  0.00000000e+00 
 2.17224240e-07  9.56859087e-01  1.80000000e+00  0.00000000e+00 
 2.27224240e-07  9.56859089e-01  1.80000000e+00  0.00000000e+00 
 2.37224240e-07  9.56859090e-01  1.80000000e+00  0.00000000e+00 
 2.47224240e-07  9.56859092e-01  1.80000000e+00  0.00000000e+00 
 2.57224240e-07  9.56859093e-01  1.80000000e+00  0.00000000e+00 
 2.67224240e-07  9.56859094e-01  1.80000000e+00  0.00000000e+00 
 2.77224240e-07  9.56859096e-01  1.80000000e+00  0.00000000e+00 
 2.87224240e-07  9.56859097e-01  1.80000000e+00  0.00000000e+00 
 2.97224240e-07  9.56859099e-01  1.80000000e+00  0.00000000e+00 
 3.07224240e-07  9.56859100e-01  1.80000000e+00  0.00000000e+00 
 3.17224240e-07  9.56859101e-01  1.80000000e+00  0.00000000e+00 
 3.27224240e-07  9.56859103e-01  1.80000000e+00  0.00000000e+00 
 3.37224240e-07  9.56859104e-01  1.80000000e+00  0.00000000e+00 
 3.47224240e-07  9.56859105e-01  1.80000000e+00  0.00000000e+00 
 3.57224240e-07  9.56859107e-01  1.80000000e+00  0.00000000e+00 
 3.67224240e-07  9.56859108e-01  1.80000000e+00  0.00000000e+00 
 3.77224240e-07  9.56859110e-01  1.80000000e+00  0.00000000e+00 
 3.87224240e-07  9.56859111e-01  1.80000000e+00  0.00000000e+00 
 3.97224240e-07  9.56859112e-01  1.80000000e+00  0.00000000e+00 
 4.07224240e-07  9.56859114e-01  1.80000000e+00  0.00000000e+00 
 4.17224240e-07  9.56859115e-01  1.80000000e+00  0.00000000e+00 
 4.27224240e-07  9.56859117e-01  1.80000000e+00  0.00000000e+00 
 4.37224240e-07  9.56859118e-01  1.80000000e+00  0.00000000e+00 
 4.47224240e-07  9.56859119e-01  1.80000000e+00  0.00000000e+00 
 4.57224240e-07  9.56859121e-01  1.80000000e+00  0.00000000e+00 
 4.67224240e-07  9.56859122e-01  1.80000000e+00  0.00000000e+00 
 4.77224240e-07  9.56859123e-01  1.80000000e+00  0.00000000e+00 
 4.87224240e-07  9.56859125e-01  1.80000000e+00  0.00000000e+00 
 4.97224240e-07  9.56859126e-01  1.80000000e+00  0.00000000e+00 
 5.00000000e-07  9.56859127e-01  1.80000000e+00  0.00000000e+00 
