 time            vcmp            p1              p2             
 2.19088160e-06  1.41226048e+00  1.36775975e-01  0.00000000e+00 
 2.20000000e-06  1.41525589e+00  0.00000000e+00  0.00000000e+00 
 2.20097860e-06  1.41527526e+00  0.00000000e+00  0.00000000e+00 
 2.20293580e-06  1.41527610e+00  0.00000000e+00  0.00000000e+00 
 2.20685021e-06  1.41527579e+00  0.00000000e+00  0.00000000e+00 
 2.21467902e-06  1.41527578e+00  0.00000000e+00  0.00000000e+00 
 2.22960751e-06  1.41527578e+00  0.00000000e+00  0.00000000e+00 
 2.24874042e-06  1.41527578e+00  0.00000000e+00  0.00000000e+00 
 2.25000000e-06  1.41527578e+00  0.00000000e+00  0.00000000e+00 
 2.25251915e-06  1.41527578e+00  0.00000000e+00  3.77872656e-02 
 2.25755745e-06  1.41527578e+00  0.00000000e+00  1.13361797e-01 
 2.26763406e-06  1.41527578e+00  0.00000000e+00  2.64510859e-01 
 2.28012694e-06  1.41527578e+00  0.00000000e+00  4.51904121e-01 
 2.28468647e-06  1.41527578e+00  0.00000000e+00  5.20297099e-01 
 2.29266565e-06  1.41527578e+00  0.00000000e+00  6.39984809e-01 
 2.29725712e-06  1.41527578e+00  0.00000000e+00  7.08856741e-01 
 2.29990351e-06  1.41527578e+00  0.00000000e+00  7.48552634e-01 
 2.30145329e-06  1.41528323e+00  0.00000000e+00  7.71799386e-01 
 2.30225462e-06  1.41525977e+00  0.00000000e+00  7.83819270e-01 
 2.30322032e-06  1.41528077e+00  0.00000000e+00  7.98304727e-01 
 2.30429456e-06  1.41527693e+00  0.00000000e+00  8.14418449e-01 
 2.30588588e-06  1.41527555e+00  0.00000000e+00  8.38288219e-01 
 2.30906852e-06  1.41527572e+00  0.00000000e+00  8.86027759e-01 
 2.31543379e-06  1.41527578e+00  0.00000000e+00  9.81506840e-01 
 2.32816433e-06  1.41527578e+00  0.00000000e+00  1.17246500e+00 
 2.35000000e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.35222320e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.35666961e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.36556242e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.38334803e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.41891927e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.49006174e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.57232219e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.68653975e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 2.82895334e-06  1.41527578e+00  0.00000000e+00  1.50000000e+00 
 3.05458454e-06  1.41527579e+00  0.00000000e+00  1.50000000e+00 
 3.44603101e-06  1.41527579e+00  0.00000000e+00  1.50000000e+00 
 4.22892395e-06  1.41527580e+00  0.00000000e+00  1.50000000e+00 
 4.35000000e-06  1.41527580e+00  0.00000000e+00  1.50000000e+00 
 4.36000000e-06  1.41527580e+00  0.00000000e+00  1.35000000e+00 
 4.38000000e-06  1.41527580e+00  0.00000000e+00  1.05000000e+00 
 4.38458333e-06  1.41527580e+00  0.00000000e+00  9.81250000e-01 
 4.39260417e-06  1.41527580e+00  0.00000000e+00  8.60937500e-01 
 4.40148437e-06  1.41527580e+00  0.00000000e+00  7.27734375e-01 
 4.41924479e-06  1.41527580e+00  0.00000000e+00  4.61328125e-01 
 4.45000000e-06  1.41527580e+00  0.00000000e+00  0.00000000e+00 
 4.45355208e-06  1.41527580e+00  0.00000000e+00  0.00000000e+00 
 4.46065625e-06  1.41527580e+00  0.00000000e+00  0.00000000e+00 
 4.47486458e-06  1.41527580e+00  0.00000000e+00  0.00000000e+00 
 4.50000000e-06  1.41527580e+00  0.00000000e+00  0.00000000e+00 
 4.50195812e-06  1.41470553e+00  2.93718320e-02  0.00000000e+00 
 4.50587437e-06  1.41344417e+00  8.81154959e-02  0.00000000e+00 
 4.51081154e-06  1.41167481e+00  1.62173111e-01  0.00000000e+00 
 4.51374000e-06  1.41051672e+00  2.06099961e-01  0.00000000e+00 
 4.51636291e-06  1.40940091e+00  2.45443720e-01  0.00000000e+00 
 4.52005445e-06  1.40768838e+00  3.00816755e-01  0.00000000e+00 
 4.52160917e-06  1.40691194e+00  3.24137480e-01  0.00000000e+00 
 4.52385684e-06  1.40572528e+00  3.57852625e-01  0.00000000e+00 
 4.52653616e-06  1.40420266e+00  3.98042468e-01  0.00000000e+00 
 4.52940904e-06  1.40242464e+00  4.41135634e-01  0.00000000e+00 
 4.53080229e-06  1.40150283e+00  4.62034419e-01  0.00000000e+00 
 4.53277180e-06  1.40012767e+00  4.91576956e-01  0.00000000e+00 
 4.53370509e-06  1.39944481e+00  5.05576305e-01  0.00000000e+00 
 4.53458334e-06  1.39878295e+00  5.18750088e-01  0.00000000e+00 
 4.53530395e-06  1.39541027e+00  5.29559309e-01  0.00000000e+00 
 4.53568939e-06  1.38818288e+00  5.35340922e-01  0.00000000e+00 
 4.53617527e-06  1.38039222e+00  5.42629030e-01  0.00000000e+00 
 4.53672042e-06  1.37258181e+00  5.50806245e-01  0.00000000e+00 
