 time            vo1             vo2             q               p1              p2             
 3.56268276e-05 -1.50666830e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.56360881e-05 -1.50636896e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.56460881e-05 -1.50617377e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.56560881e-05 -1.50606064e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.56660881e-05 -1.50599631e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.56760881e-05 -1.50596027e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.56860881e-05 -1.50594032e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.56960881e-05 -1.50592937e-01 -6.64774144e-01  6.50968514e-08  0.00000000e+00  1.20000000e+00 
 3.57060881e-05 -1.50592342e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.57160881e-05 -1.50592020e-01 -6.64774144e-01  6.50968510e-08  0.00000000e+00  1.20000000e+00 
 3.57260881e-05 -1.50591847e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.57360881e-05 -1.50591754e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.57460881e-05 -1.50591705e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.57560881e-05 -1.50591679e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.57660881e-05 -1.50591665e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.57760881e-05 -1.50591657e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.57860881e-05 -1.50591654e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.57960881e-05 -1.50591651e-01 -6.64774144e-01  6.50968514e-08  0.00000000e+00  1.20000000e+00 
 3.58060881e-05 -1.50591650e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.58160881e-05 -1.50591650e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.58260881e-05 -1.50591649e-01 -6.64774144e-01  6.50968510e-08  0.00000000e+00  1.20000000e+00 
 3.58360881e-05 -1.50591649e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.58460881e-05 -1.50591649e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.58560881e-05 -1.50591649e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.58660881e-05 -1.50591649e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.58760881e-05 -1.50591649e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.58860881e-05 -1.50591649e-01 -6.64774144e-01  6.50968509e-08  0.00000000e+00  1.20000000e+00 
 3.58960881e-05 -1.50591649e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.59060881e-05 -1.50591648e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.59160881e-05 -1.50591648e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.59260881e-05 -1.50591648e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.59360881e-05 -1.50591648e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.59460881e-05 -1.50591648e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.59560881e-05 -1.50591648e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.59660881e-05 -1.50591648e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.59760881e-05 -1.50591648e-01 -6.64774144e-01  6.50968512e-08  0.00000000e+00  1.20000000e+00 
 3.59860881e-05 -1.50591648e-01 -6.64774144e-01  6.50968509e-08  0.00000000e+00  1.20000000e+00 
 3.59960881e-05 -1.50591648e-01 -6.64774144e-01  6.50968511e-08  0.00000000e+00  1.20000000e+00 
 3.60000000e-05 -1.50591648e-01 -6.64774144e-01  6.50968513e-08  0.00000000e+00  1.20000000e+00 
 3.60000040e-05 -1.50591648e-01 -6.64774144e-01 -1.71632383e-05  0.00000000e+00  1.15169081e+00 
 3.60000121e-05 -1.50591648e-01 -6.64774144e-01 -6.69196818e-07  0.00000000e+00  1.05507243e+00 
 3.60000219e-05 -1.50591648e-01 -6.64774144e-01  1.16319211e-05  0.00000000e+00  9.37516198e-01 
 3.60000333e-05 -1.50591648e-01 -6.64774144e-01  5.65024983e-06  0.00000000e+00  8.00029017e-01 
 3.60000375e-05 -1.50591648e-01 -6.64774144e-01  3.06802890e-06  0.00000000e+00  7.50023576e-01 
 3.60000448e-05 -1.50591648e-01 -6.64774144e-01  7.15811047e-06  0.00000000e+00  6.62514055e-01 
 3.60000529e-05 -1.50591648e-01 -6.64774144e-01  2.13278172e-05  0.00000000e+00  5.65628514e-01 
 3.60000609e-05 -1.50591648e-01 -6.64774144e-01  4.31292982e-05  0.00000000e+00  4.69785109e-01 
 3.60000695e-05 -1.50591648e-01 -6.64774144e-01  6.71371133e-05  0.00000000e+00  3.65528499e-01 
 3.60000795e-05 -1.50591648e-01 -6.64774144e-01  7.24459564e-05  0.00000000e+00  2.45958153e-01 
 3.60000902e-05 -1.50591648e-01 -6.64774144e-01  6.06107192e-05  0.00000000e+00  1.17316845e-01 
 3.60001000e-05 -1.50591648e-01 -6.64774144e-01  1.50832785e-06  0.00000000e+00  0.00000000e+00 
 3.60001010e-05 -1.50591648e-01 -6.64774144e-01  5.29891621e-06  0.00000000e+00  0.00000000e+00 
 3.60001029e-05 -1.50591648e-01 -6.64774144e-01 -3.03453199e-05  0.00000000e+00  0.00000000e+00 
 3.60001068e-05 -1.50591648e-01 -6.64774144e-01 -1.92481862e-04  0.00000000e+00  0.00000000e+00 
 3.60001116e-05 -1.50591648e-01 -6.64774144e-01 -3.81947607e-04  0.00000000e+00  0.00000000e+00 
 3.60001174e-05 -1.50591648e-01 -6.64774144e-01 -4.59121665e-04  0.00000000e+00  0.00000000e+00 
 3.60001232e-05 -1.50591648e-01 -6.64774144e-01 -3.63695016e-04  0.00000000e+00  0.00000000e+00 
 3.60001288e-05 -1.50591648e-01 -6.64774144e-01 -1.80514906e-04  0.00000000e+00  0.00000000e+00 
 3.60001340e-05 -1.50591648e-01 -6.64774144e-01 -1.31485664e-05  0.00000000e+00  0.00000000e+00 
 3.60001380e-05 -1.50591648e-01 -6.64774144e-01  1.22738831e-04  0.00000000e+00  0.00000000e+00 
 3.60001430e-05 -1.50591648e-01 -6.64774144e-01  2.82695625e-04  0.00000000e+00  0.00000000e+00 
 3.60001482e-05 -1.50591648e-01 -6.64774144e-01  3.86506635e-04  0.00000000e+00  0.00000000e+00 
 3.60001529e-05 -1.50591648e-01 -6.64774144e-01  3.80848408e-04  0.00000000e+00  0.00000000e+00 
 3.60001575e-05 -1.50591648e-01 -6.64774144e-01  2.84061996e-04  0.00000000e+00  0.00000000e+00 
 3.60001633e-05 -1.50591648e-01 -6.64774144e-01  1.26387920e-04  0.00000000e+00  0.00000000e+00 
 3.60001695e-05 -1.50591648e-01 -6.64774144e-01  2.77835760e-06  0.00000000e+00  0.00000000e+00 
 3.60001780e-05 -1.50591648e-01 -6.64774144e-01 -6.65417520e-05  0.00000000e+00  0.00000000e+00 
 3.60001890e-05 -1.50591648e-01 -6.64774144e-01 -6.75131669e-05  0.00000000e+00  0.00000000e+00 
 3.60002033e-05 -1.50591648e-01 -6.64774144e-01 -3.67060343e-05  0.00000000e+00  0.00000000e+00 
 3.60002218e-05 -1.50591648e-01 -6.64774144e-01 -9.76390056e-06  0.00000000e+00  0.00000000e+00 
 3.60002471e-05 -1.50591648e-01 -6.64774144e-01  1.69089076e-06  0.00000000e+00  0.00000000e+00 
 3.60002850e-05 -1.50591648e-01 -6.64774144e-01  2.58790791e-06  0.00000000e+00  0.00000000e+00 
 3.60003545e-05 -1.50591648e-01 -6.64774144e-01  8.78609820e-07  0.00000000e+00  0.00000000e+00 
 3.60004783e-05 -1.50591648e-01 -6.64774144e-01  1.57774543e-07  0.00000000e+00  0.00000000e+00 
 3.60006605e-05 -1.50591648e-01 -6.64774144e-01  6.01295887e-08  0.00000000e+00  0.00000000e+00 
 3.60010118e-05 -1.50591649e-01 -6.64774144e-01  4.80935331e-08  0.00000000e+00  0.00000000e+00 
 3.60017143e-05 -1.50591649e-01 -6.64774144e-01  6.13066981e-08  0.00000000e+00  0.00000000e+00 
 3.60031192e-05 -1.50591651e-01 -6.64774144e-01  6.54036757e-08  0.00000000e+00  0.00000000e+00 
 3.60050000e-05 -1.50591652e-01 -6.64774144e-01  6.51682778e-08  0.00000000e+00  0.00000000e+00 
 3.60050020e-05 -1.50591652e-01 -6.64774144e-01  6.04337959e-05  2.34687259e-02  0.00000000e+00 
 3.60050059e-05 -1.50591652e-01 -6.64774144e-01  7.78937746e-05  7.04061779e-02  0.00000000e+00 
 3.60050137e-05 -1.50591652e-01 -6.64774144e-01  2.44699390e-05  1.64281082e-01  0.00000000e+00 
 3.60050225e-05 -1.50591652e-01 -6.64774144e-01 -2.77311508e-06  2.69627487e-01  0.00000000e+00 
 3.60050341e-05 -1.50591652e-01 -6.64774144e-01 -2.82176089e-06  4.09387264e-01  0.00000000e+00 
 3.60050420e-05 -1.50591652e-01 -6.64774144e-01 -1.21093949e-05  5.04100832e-01  0.00000000e+00 
 3.60050522e-05 -1.50591652e-01 -6.64774160e-01 -6.87585148e-05  6.26025208e-01  0.00000000e+00 
 3.60050621e-05 -1.50591652e-01 -6.64774203e-01 -2.10616686e-04  7.45302668e-01  0.00000000e+00 
 3.60050706e-05 -1.50591652e-01 -6.64774265e-01 -4.13141955e-04  8.47105851e-01  0.00000000e+00 
 3.60050797e-05 -1.50591652e-01 -6.64774360e-01 -6.37745533e-04  9.56442945e-01  0.00000000e+00 
 3.60050888e-05 -1.50591652e-01 -6.64774486e-01 -8.49269894e-04  1.06580280e+00  0.00000000e+00 
 3.60050968e-05 -1.50591652e-01 -6.64774620e-01 -8.02639442e-04  1.16131094e+00  0.00000000e+00 
 3.60051000e-05 -1.50591652e-01 -6.64774682e-01 -5.69822489e-04  1.20000000e+00  0.00000000e+00 
 3.60051008e-05 -1.50591652e-01 -6.64774697e-01 -5.08838269e-04  1.20000000e+00  0.00000000e+00 
 3.60051023e-05 -1.50591652e-01 -6.64774727e-01 -3.01781490e-04  1.20000000e+00  0.00000000e+00 
 3.60051047e-05 -1.50591653e-01 -6.64774779e-01  2.43678179e-04  1.20000000e+00  0.00000000e+00 
 3.60051079e-05 -1.50591653e-01 -6.64774848e-01  1.03747565e-03  1.20000000e+00  0.00000000e+00 
 3.60051137e-05 -1.50591653e-01 -6.64774984e-01  2.06634884e-03  1.20000000e+00  0.00000000e+00 
 3.60051197e-05 -1.50591653e-01 -6.64775139e-01  2.25285838e-03  1.20000000e+00  0.00000000e+00 
 3.60051256e-05 -1.50591653e-01 -6.64775305e-01  1.60447607e-03  1.20000000e+00  0.00000000e+00 
 3.60051301e-05 -1.50591653e-01 -6.64775440e-01  7.67306912e-04  1.20000000e+00  0.00000000e+00 
 3.60051355e-05 -1.50591653e-01 -6.64775611e-01 -1.93643926e-04  1.20000000e+00  0.00000000e+00 
 3.60051405e-05 -1.50591653e-01 -6.64775779e-01 -5.83063320e-04  1.20000000e+00  0.00000000e+00 
 3.60051482e-05 -1.50591653e-01 -6.64776057e-01 -6.59567315e-04  1.20000000e+00  0.00000000e+00 
 3.60051543e-05 -1.50591653e-01 -6.64776294e-01 -5.08590933e-04  1.20000000e+00  0.00000000e+00 
 3.60051622e-05 -1.50591653e-01 -6.64776620e-01 -2.84890562e-04  1.20000000e+00  0.00000000e+00 
 3.60051695e-05 -1.50591653e-01 -6.64776940e-01 -1.33935144e-04  1.20000000e+00  0.00000000e+00 
 3.60051797e-05 -1.50591653e-01 -6.64777423e-01 -2.57039545e-05  1.20000000e+00  0.00000000e+00 
 3.60051914e-05 -1.50591653e-01 -6.64778020e-01  1.14170960e-05  1.20000000e+00  0.00000000e+00 
 3.60052099e-05 -1.50591653e-01 -6.64779069e-01  1.46029705e-05  1.20000000e+00  0.00000000e+00 
 3.60052357e-05 -1.50591653e-01 -6.64780740e-01  5.40318210e-06  1.20000000e+00  0.00000000e+00 
 3.60052869e-05 -1.50591653e-01 -6.64784775e-01 -4.44058720e-07  1.20000000e+00  0.00000000e+00 
 3.60053513e-05 -1.50591653e-01 -6.64791194e-01 -4.75207443e-07  1.20000000e+00  0.00000000e+00 
 3.60054656e-05 -1.50591653e-01 -6.64806209e-01  1.12309270e-08  1.20000000e+00  0.00000000e+00 
 3.60056174e-05 -1.50591653e-01 -6.64833233e-01  8.08305760e-08  1.20000000e+00  0.00000000e+00 
 3.60059211e-05 -1.50591654e-01 -6.64910700e-01  6.74969999e-08  1.20000000e+00  0.00000000e+00 
 3.60065285e-05 -1.50591655e-01 -6.65153678e-01  6.47531890e-08  1.20000000e+00  0.00000000e+00 
 3.60077434e-05 -1.50591657e-01 -6.65950859e-01  6.50847906e-08  1.20000000e+00  0.00000000e+00 
 3.60092472e-05 -1.50591659e-01 -6.67420320e-01  6.51011315e-08  1.20000000e+00  0.00000000e+00 
 3.60110045e-05 -1.50591662e-01 -6.69667550e-01  6.50969036e-08  1.20000000e+00  0.00000000e+00 
 3.60129898e-05 -1.50591665e-01 -6.72706144e-01  6.50968099e-08  1.20000000e+00  0.00000000e+00 
 3.60151666e-05 -1.50591667e-01 -6.76439141e-01  6.50968503e-08  1.20000000e+00  0.00000000e+00 
 3.60175575e-05 -1.50591670e-01 -6.80806052e-01  6.50968526e-08  1.20000000e+00  0.00000000e+00 
 3.60201439e-05 -1.50591672e-01 -6.85637045e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60229523e-05 -1.50591675e-01 -6.90819804e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
